date,product_id,category,demand,price,has_promotion,is_holiday,day_of_week,month,temperature,competitor_price,stock_level
2022-01-01,PROD_001,Sports,406,81.73,1,0,5,1,55.4,85.15,472
2022-01-02,PROD_001,Sports,294,66.66,0,0,6,1,57.4,65.77,559
2022-01-03,PROD_001,Sports,526,9.62,0,0,0,1,48.5,9.23,799
2022-01-04,PROD_001,Sports,381,53.96,0,0,1,1,61.4,57.65,230
2022-01-05,PROD_001,Sports,569,70.52,0,0,2,1,51.2,67.22,997
2022-01-06,PROD_001,Sports,489,45.86,0,0,3,1,59.1,51.91,661
2022-01-07,PROD_001,Sports,506,38.21,0,0,4,1,55.4,43.71,829
2022-01-08,PROD_001,Sports,388,49.45,0,0,5,1,57.9,52.62,351
2022-01-09,PROD_001,Sports,396,38.41,1,0,6,1,66.6,39.23,863
2022-01-10,PROD_001,Sports,397,33.42,0,0,0,1,53.7,33.71,162
2022-01-11,PROD_001,Sports,478,76.99,0,0,1,1,59.2,86.43,939
2022-01-12,PROD_001,Sports,597,18.11,0,0,2,1,69.8,19.34,825
2022-01-13,PROD_001,Sports,567,48.51,0,0,3,1,69.0,51.52,866
2022-01-14,PROD_001,Sports,435,14.21,0,0,4,1,63.7,14.08,963
2022-01-15,PROD_001,Sports,359,38.36,0,0,5,1,63.7,39.59,270
2022-01-16,PROD_001,Sports,361,96.73,0,0,6,1,68.6,103.97,673
2022-01-17,PROD_001,Sports,530,93.8,0,0,0,1,72.3,105.92,330
2022-01-18,PROD_001,Sports,479,35.51,0,0,1,1,61.4,37.53,417
2022-01-19,PROD_001,Sports,552,20.11,0,0,2,1,65.3,21.19,332
2022-01-20,PROD_001,Sports,440,15.06,0,0,3,1,70.5,16.45,712
2022-01-21,PROD_001,Sports,526,13.61,0,0,4,1,63.5,13.69,324
2022-01-22,PROD_001,Sports,249,71.7,0,0,5,1,76.9,76.62,538
2022-01-23,PROD_001,Sports,279,32.82,0,0,6,1,74.4,35.34,610
2022-01-24,PROD_001,Sports,783,82.12,1,0,0,1,76.2,78.29,610
2022-01-25,PROD_001,Sports,659,63.63,0,0,1,1,63.4,72.37,740
2022-01-26,PROD_001,Sports,569,71.74,0,0,2,1,77.7,71.43,243
2022-01-27,PROD_001,Sports,522,60.32,0,0,3,1,67.0,68.13,136
2022-01-28,PROD_001,Sports,580,25.79,0,0,4,1,73.0,28.92,153
2022-01-29,PROD_001,Sports,323,62.15,0,0,5,1,70.7,59.1,995
2022-01-30,PROD_001,Sports,343,53.15,0,0,6,1,69.6,52.39,603
2022-01-31,PROD_001,Sports,560,89.15,0,0,0,1,65.5,91.25,474
2022-02-01,PROD_001,Sports,548,69.13,0,0,1,2,74.7,71.68,376
2022-02-02,PROD_001,Sports,481,61.83,0,0,2,2,73.6,62.21,646
2022-02-03,PROD_001,Sports,534,15.3,0,0,3,2,61.8,17.24,991
2022-02-04,PROD_001,Sports,808,92.21,1,0,4,2,68.8,94.7,260
2022-02-05,PROD_001,Sports,394,25.54,0,0,5,2,72.2,27.18,891
2022-02-06,PROD_001,Sports,316,68.41,0,0,6,2,67.3,69.41,203
2022-02-07,PROD_001,Sports,511,71.17,0,0,0,2,76.4,79.14,507
2022-02-08,PROD_001,Sports,660,56.04,0,0,1,2,75.0,61.1,499
2022-02-09,PROD_001,Sports,957,81.31,1,0,2,2,64.6,88.18,150
2022-02-10,PROD_001,Sports,575,56.33,0,0,3,2,70.6,53.93,937
2022-02-11,PROD_001,Sports,637,56.31,0,0,4,2,70.3,64.37,202
2022-02-12,PROD_001,Sports,543,14.74,1,0,5,2,84.0,16.15,368
2022-02-13,PROD_001,Sports,268,67.49,0,0,6,2,66.9,74.16,445
2022-02-14,PROD_001,Sports,935,103.13,1,0,0,2,69.9,101.55,612
2022-02-15,PROD_001,Sports,772,29.02,0,0,1,2,75.3,31.38,680
2022-02-16,PROD_001,Sports,518,45.35,0,0,2,2,80.6,43.22,319
2022-02-17,PROD_001,Sports,967,14.64,1,0,3,2,73.3,14.19,531
2022-02-18,PROD_001,Sports,595,40.88,0,0,4,2,72.6,46.59,199
2022-02-19,PROD_001,Sports,507,44.82,1,0,5,2,80.8,48.48,615
2022-02-20,PROD_001,Sports,445,103.39,0,0,6,2,76.9,114.78,789
2022-02-21,PROD_001,Sports,688,22.91,0,0,0,2,77.6,25.52,267
2022-02-22,PROD_001,Sports,534,25.24,0,0,1,2,77.0,24.34,875
2022-02-23,PROD_001,Sports,438,69.07,0,0,2,2,75.7,75.19,725
2022-02-24,PROD_001,Sports,670,93.16,0,0,3,2,72.9,91.8,556
2022-02-25,PROD_001,Sports,545,64.7,0,0,4,2,74.4,68.98,762
2022-02-26,PROD_001,Sports,445,86.02,0,0,5,2,80.6,83.49,372
2022-02-27,PROD_001,Sports,379,53.48,0,0,6,2,73.7,51.38,544
2022-02-28,PROD_001,Sports,693,17.56,0,0,0,2,86.4,18.25,198
2022-03-01,PROD_001,Sports,635,56.4,0,0,1,3,86.1,64.5,108
2022-03-02,PROD_001,Sports,554,60.4,0,0,2,3,78.4,58.26,894
2022-03-03,PROD_001,Sports,558,15.88,0,0,3,3,83.1,18.1,316
2022-03-04,PROD_001,Sports,571,43.25,0,0,4,3,65.8,47.18,813
2022-03-05,PROD_001,Sports,385,19.98,0,0,5,3,77.6,19.2,575
2022-03-06,PROD_001,Sports,449,88.16,0,0,6,3,72.3,90.81,607
2022-03-07,PROD_001,Sports,695,83.3,0,0,0,3,78.3,95.68,328
2022-03-08,PROD_001,Sports,556,66.42,0,0,1,3,75.8,67.01,612
2022-03-09,PROD_001,Sports,534,67.61,0,0,2,3,89.2,67.98,447
2022-03-10,PROD_001,Sports,487,42.51,0,0,3,3,74.4,42.6,601
2022-03-11,PROD_001,Sports,874,34.55,1,0,4,3,71.0,33.75,646
2022-03-12,PROD_001,Sports,519,99.79,0,0,5,3,72.1,113.42,341
2022-03-13,PROD_001,Sports,501,24.39,0,0,6,3,78.3,27.98,878
2022-03-14,PROD_001,Sports,638,48.44,0,0,0,3,80.3,50.56,198
2022-03-15,PROD_001,Sports,1026,10.28,1,0,1,3,80.7,11.3,870
2022-03-16,PROD_001,Sports,672,86.25,0,0,2,3,76.9,89.71,977
2022-03-17,PROD_001,Sports,660,32.69,0,0,3,3,80.9,31.36,194
2022-03-18,PROD_001,Sports,987,70.73,1,0,4,3,79.9,79.25,153
2022-03-19,PROD_001,Sports,567,19.0,0,0,5,3,76.6,19.65,328
2022-03-20,PROD_001,Sports,302,69.16,0,0,6,3,84.8,71.12,958
